色号,名称,HEX 值,RGB 值,填充色
A1,浅米黄,#FAF5CD,"250,245,205",
A2,极浅黄,#FCFED6,"252,254,214",
A3,柠檬黄,#FCFF92,"252,255,146",
A4,亮黄,#F7EC5C,"247,236,92",
A5,金黄,#F0D83A,"240,216,58",
A6,浅橙,#FDA951,"253,169,81",
A7,橙黄,#FA8C4F,"250,140,79",
A8,鲜黄,#FBDA4D,"251,218,77",
A9,杏橙,#F79D5F,"247,157,95",
A10,深橙,#F47E38,"244,126,56",
A11,奶油黄,#FEDB99,"254,219,153",
A12,桃橙,#FDA276,"253,162,118",
A13,浅金黄,#FEC667,"254,198,103",
A14,橙红,#F75842,"247,88,66",
A15,嫩黄,#FBF65E,"251,246,94",
A16,鹅黄,#FEFF97,"254,255,151",
A17,玉米黄,#FDE173,"253,225,115",
A18,浅杏,#FCBF80,"252,191,128",
A19,珊瑚橙,#FD7E77,"253,126,119",
A20,土黄,#F9D666,"249,214,102",
A21,米黄,#FAE393,"250,227,147",
A22,黄绿,#EDF878,"237,248,120",
A23,浅肤色,#E4C8BA,"228,200,186",
A24,淡黄绿,#F3F6A9,"243,246,169",
A25,淡黄,#FDF785,"253,247,133",
A26,深金黄,#FFC734,"255,199,52",
B1,黄绿,#DFF13B,"223,241,59",
B2,亮绿,#64F343,"100,243,67",
B3,浅绿,#A1F586,"161,245,134",
B4,鲜绿,#5FDF34,"95,223,52",
B5,草绿,#39E158,"57,225,88",
B6,薄荷绿,#64E0A4,"100,224,164",
B7,深薄荷,#3EAE7C,"62,174,124",
B8,深绿,#1D9B54,"29,155,84",
B9,墨绿,#2A5037,"42,80,55",
B10,浅蓝绿,#9AD1BA,"154,209,186",
B11,橄榄绿,#627032,"98,112,50",
B12,森林绿,#1A6E3D,"26,110,61",
B13,淡黄绿,#C8E87D,"200,232,125",
B14,苹果绿,#ABE84F,"171,232,79",
B15,深墨绿,#305335,"48,83,53",
B16,嫩草绿,#C0ED9C,"192,237,156",
B17,橄榄黄,#9EB33E,"158,179,62",
B18,亮黄绿,#E6ED4F,"230,237,79",
B19,绿松石,#26B78E,"38,183,142",
B20,极浅绿,#CBECCF,"203,236,207",
B21,深青,#18616A,"24,97,106",
B22,墨青,#0A4241,"10,66,65",
B23,深橄榄,#343B1A,"52,59,26",
B24,浅黄绿,#E8FAA6,"232,250,166",
B25,灰绿,#4E846D,"78,132,109",
B26,橄榄棕,#907C35,"144,124,53",
B27,灰黄绿,#D0E0AF,"208,224,175",
B28,浅薄荷,#9EE5BB,"158,229,187",
B29,黄绿,#C6DF5F,"198,223,95",
B30,极浅黄绿,#E3FBB1,"227,251,177",
B31,淡绿,#B4E691,"180,230,145",
B32,橄榄灰,#92AD60,"146,173,96",
C1,极浅蓝绿,#F0FEE4,"240,254,228",
C2,浅天蓝,#ABF8FE,"171,248,254",
C3,淡天蓝,#A2E0F7,"162,224,247",
C4,天蓝,#44CDFB,"68,205,251",
C5,深天蓝,#06AADF,"6,170,223",
C6,浅蓝,#54A7E9,"84,167,233",
C7,蓝色,#3977CA,"57,119,202",
C8,深蓝,#0F52BD,"15,82,189",
C9,宝蓝,#3349C3,"51,73,195",
C10,青蓝,#3CBCE3,"60,188,227",
C11,青色,#2ADED3,"42,222,211",
C12,藏青,#1E334E,"30,51,78",
C13,极浅蓝,#CDE7FE,"205,231,254",
C14,浅青,#D5FCF7,"213,252,247",
C15,深青,#21C5C4,"33,197,196",
C16,海军蓝,#1858A2,"24,88,162",
C17,亮青,#02D1F3,"2,209,243",
C18,深海军蓝,#213244,"33,50,68",
C19,蓝绿,#18869D,"24,134,157",
C20,钢蓝,#1A70A9,"26,112,169",
C21,淡蓝,#BCDDFC,"188,221,252",
C22,灰蓝,#6BB1BB,"107,177,187",
C23,浅蓝,#C8E2FD,"200,226,253",
C24,天蓝色,#7EC5F9,"126,197,249",
C25,浅青蓝,#A9E8E0,"169,232,224",
C26,中蓝,#42ADCF,"66,173,207",
C27,极浅蓝,#D0DEF9,"208,222,249",
C28,灰蓝,#BDCEE8,"189,206,232",
C29,靛蓝,#364A89,"54,74,137",
D1,浅紫蓝,#ACB7EF,"172,183,239",
D2,紫蓝,#868DD3,"134,141,211",
D3,深紫蓝,#3554AF,"53,84,175",
D4,藏蓝紫,#162D7B,"22,45,123",
D5,紫色,#B34EC6,"179,78,198",
D6,浅紫,#B37BDC,"179,123,220",
D7,深紫,#8758A9,"135,88,169",
D8,极浅紫,#E3D2FE,"227,210,254",
D9,淡紫,#D5B9F4,"213,185,244",
D10,深紫黑,#301A49,"48,26,73",
D11,灰紫,#BEB9E2,"190,185,226",
D12,粉紫,#DC99CE,"220,153,206",
D13,深玫紫,#B5038D,"181,3,141",
D14,暗紫,#862993,"134,41,147",
D15,靛紫,#2F1F8C,"47,31,140",
D16,极浅灰紫,#E2E4F0,"226,228,240",
D17,浅蓝紫,#C7D3F9,"199,211,249",
D18,中紫,#9A64B8,"154,100,184",
D19,灰粉紫,#D8C2D9,"216,194,217",
D20,深紫,#9A35AD,"154,53,173",
D21,暗紫,#940595,"148,5,149",
D22,蓝紫,#38389A,"56,56,154",
D23,极浅紫,#EADBF8,"234,219,248",
D24,蓝紫,#768AE1,"118,138,225",
D25,深紫蓝,#4950C2,"73,80,194",
D26,淡紫,#D6C6EB,"214,198,235",
E1,浅粉,#F6D4CB,"246,212,203",
E2,淡粉,#FCC1DD,"252,193,221",
E3,浅玫粉,#F6BDE8,"246,189,232",
E4,玫粉,#E8649E,"232,100,158",
E5,深玫粉,#F0569F,"240,86,159",
E6,玫红,#EB4172,"235,65,114",
E7,深玫红,#C53674,"197,54,116",
E8,极浅粉,#FDDBE9,"253,219,233",
E9,紫粉,#E376C7,"227,118,199",
E10,深紫粉,#D13B95,"209,59,149",
E11,浅肤色,#F7DAD4,"247,218,212",
E12,中粉,#F693BF,"246,147,191",
E13,深玫红,#B5026A,"181,2,106",
E14,浅肤色,#FAD4BF,"250,212,191",
E15,淡粉,#F5C9CA,"245,201,202",
E16,极浅肤色,#FBF4EC,"251,244,236",
E17,极浅粉,#F7E3EC,"247,227,236",
E18,浅粉,#F9C8DB,"249,200,219",
E19,中粉,#F6BBD1,"246,187,209",
E20,灰粉,#D7C6CE,"215,198,206",
E21,深灰粉,#C09DA4,"192,157,164",
E22,暗灰粉,#B38C9F,"179,140,159",
